"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"3758","681","8600000US01922","ZCTA5 01922"
"27367","41","8600000US01923","ZCTA5 01923"
"3771","16","8600000US01929","ZCTA5 01929"
"30291","31","8600000US01930","ZCTA5 01930"
"182","31","8600000US01937","ZCTA5 01937"
"14022","27","8600000US01938","ZCTA5 01938"
"13429","135","8600000US01940","ZCTA5 01940"
"5400","32","8600000US01944","ZCTA5 01944"
"20530","43","8600000US01945","ZCTA5 01945"
"9952","50","8600000US01949","ZCTA5 01949"
"18197","27","8600000US01950","ZCTA5 01950"
"3348","682","8600000US01951","ZCTA5 01951"
"9477","64","8600000US01952","ZCTA5 01952"
"52880","87","8600000US01960","ZCTA5 01960"
"7269","26","8600000US01966","ZCTA5 01966"
"6375","21","8600000US01969","ZCTA5 01969"
"43120","166","8600000US01970","ZCTA5 01970"
"8048","18","8600000US01982","ZCTA5 01982"
"6613","34","8600000US01983","ZCTA5 01983"
"5208","18","8600000US01984","ZCTA5 01984"
"4688","23","8600000US01985","ZCTA5 01985"
"17196","36","8600000US02019","ZCTA5 02019"
"23615","25","8600000US02021","ZCTA5 02021"
"8520","17","8600000US02025","ZCTA5 02025"
"25316","61","8600000US02026","ZCTA5 02026"
"6079","24","8600000US02030","ZCTA5 02030"
"4360","700","8600000US02032","ZCTA5 02032"
"17917","29","8600000US02035","ZCTA5 02035"
"33644","26","8600000US02038","ZCTA5 02038"
"23983","37","8600000US02043","ZCTA5 02043"
"10478","23","8600000US02045","ZCTA5 02045"
"156","162","8600000US02047","ZCTA5 02047"
"24145","32","8600000US02048","ZCTA5 02048"
"26109","188","8600000US02050","ZCTA5 02050"
"12926","26","8600000US02052","ZCTA5 02052"
"13398","33","8600000US02053","ZCTA5 02053"
"8288","52","8600000US02054","ZCTA5 02054"
"11861","21","8600000US02056","ZCTA5 02056"
"11120","32","8600000US02061","ZCTA5 02061"
"29446","57","8600000US02062","ZCTA5 02062"
"18511","250","8600000US02066","ZCTA5 02066"
"18653","35","8600000US02067","ZCTA5 02067"
"1230","491","8600000US02071","ZCTA5 02071"
"28742","51","8600000US02072","ZCTA5 02072"
"19850","920","8600000US02081","ZCTA5 02081"
"16229","35","8600000US02090","ZCTA5 02090"
"11930","17","8600000US02093","ZCTA5 02093"
"4520","571","8600000US02108","ZCTA5 02108"
"3639","471","8600000US02109","ZCTA5 02109"
"2340","436","8600000US02110","ZCTA5 02110"
"7949","1036","8600000US02111","ZCTA5 02111"
"7339","773","8600000US02113","ZCTA5 02113"
"13260","1074","8600000US02114","ZCTA5 02114"
"29134","1652","8600000US02115","ZCTA5 02115"
"23007","1064","8600000US02116","ZCTA5 02116"
"28892","1545","8600000US02118","ZCTA5 02118"
"27426","1555","8600000US02119","ZCTA5 02119"
"15210","1591","8600000US02120","ZCTA5 02120"
"29570","2324","8600000US02121","ZCTA5 02121"
"24874","1836","8600000US02122","ZCTA5 02122"
"57128","2589","8600000US02124","ZCTA5 02124"
"34725","1556","8600000US02125","ZCTA5 02125"
"29807","2063","8600000US02126","ZCTA5 02126"
"36941","1668","8600000US02127","ZCTA5 02127"
"47804","2204","8600000US02128","ZCTA5 02128"
"20504","1151","8600000US02129","ZCTA5 02129"
"42021","2021","8600000US02130","ZCTA5 02130"
"34048","1659","8600000US02131","ZCTA5 02131"
"28263","1745","8600000US02132","ZCTA5 02132"
"19552","1201","8600000US02134","ZCTA5 02134"
"45496","1837","8600000US02135","ZCTA5 02135"
"36417","2457","8600000US02136","ZCTA5 02136"
"39139","1407","8600000US02138","ZCTA5 02138"
"39702","1364","8600000US02139","ZCTA5 02139"
"20954","1179","8600000US02140","ZCTA5 02140"
"14437","858","8600000US02141","ZCTA5 02141"
"4074","499","8600000US02142","ZCTA5 02142"
"25102","1432","8600000US02143","ZCTA5 02143"
"25009","1310","8600000US02144","ZCTA5 02144"
"28372","1155","8600000US02145","ZCTA5 02145"
"60710","48","8600000US02148","ZCTA5 02148"
"46275","60","8600000US02149","ZCTA5 02149"
"39862","49","8600000US02150","ZCTA5 02150"
"53416","51","8600000US02151","ZCTA5 02151"
"18558","25","8600000US02152","ZCTA5 02152"
"60533","354","8600000US02155","ZCTA5 02155"
"2343","380","8600000US02163","ZCTA5 02163"
"56999","1375","8600000US02169","ZCTA5 02169"
"19163","1358","8600000US02170","ZCTA5 02170"
"18227","1138","8600000US02171","ZCTA5 02171"
"28054","53","8600000US02176","ZCTA5 02176"
"23625","42","8600000US02180","ZCTA5 02180"
"37196","34","8600000US02184","ZCTA5 02184"
"27590","28","8600000US02186","ZCTA5 02186"
"16114","1172","8600000US02188","ZCTA5 02188"
"15337","1139","8600000US02189","ZCTA5 02189"
"17466","1048","8600000US02190","ZCTA5 02190"
"8296","741","8600000US02191","ZCTA5 02191"
"1435","345","8600000US02199","ZCTA5 02199"
"24","21","8600000US02203","ZCTA5 02203"
"4538","490","8600000US02210","ZCTA5 02210"
"26243","1441","8600000US02215","ZCTA5 02215"
"63920","1533","8600000US02301","ZCTA5 02301"
"31820","1539","8600000US02302","ZCTA5 02302"
"4513","28","8600000US02322","ZCTA5 02322"
"27441","27","8600000US02324","ZCTA5 02324"
"11745","24","8600000US02330","ZCTA5 02330"
"15912","30","8600000US02332","ZCTA5 02332"
"14509","25","8600000US02333","ZCTA5 02333"
"7830","17","8600000US02338","ZCTA5 02338"
"14526","20","8600000US02339","ZCTA5 02339"
"10874","26","8600000US02341","ZCTA5 02341"
"11051","29","8600000US02343","ZCTA5 02343"
"25139","56","8600000US02346","ZCTA5 02346"
"11531","55","8600000US02347","ZCTA5 02347"
"16557","27","8600000US02351","ZCTA5 02351"
"12474","879","8600000US02356","ZCTA5 02356"
"1050","279","8600000US02357","ZCTA5 02357"
"18455","26","8600000US02359","ZCTA5 02359"
"60797","82","8600000US02360","ZCTA5 02360"
"13746","50","8600000US02364","ZCTA5 02364"
"194","42","8600000US02366","ZCTA5 02366"
"2979","16","8600000US02367","ZCTA5 02367"
"34214","69","8600000US02368","ZCTA5 02368"
"18010","51","8600000US02370","ZCTA5 02370"
"11336","844","8600000US02375","ZCTA5 02375"
"7254","20","8600000US02379","ZCTA5 02379"
"15139","31","8600000US02382","ZCTA5 02382"
"14726","670","8600000US02420","ZCTA5 02420"
"18578","669","8600000US02421","ZCTA5 02421"
"20520","961","8600000US02445","ZCTA5 02445"
"29711","1068","8600000US02446","ZCTA5 02446"
"17470","1222","8600000US02451","ZCTA5 02451"
"15636","1111","8600000US02452","ZCTA5 02452"
"29289","1169","8600000US02453","ZCTA5 02453"
"1812","273","8600000US02457","ZCTA5 02457"
"12050","975","8600000US02458","ZCTA5 02458"
"18631","1159","8600000US02459","ZCTA5 02459"
"9885","875","8600000US02460","ZCTA5 02460"
"6923","676","8600000US02461","ZCTA5 02461"
"1222","224","8600000US02462","ZCTA5 02462"
"3706","534","8600000US02464","ZCTA5 02464"
"11967","808","8600000US02465","ZCTA5 02465"
"9292","695","8600000US02466","ZCTA5 02466"
"22982","1744","8600000US02467","ZCTA5 02467"
"5522","588","8600000US02468","ZCTA5 02468"
"35951","155","8600000US02472","ZCTA5 02472"
